3337 4
start,apnea_state,end,source_file
18942,1,18959,3
18982,1,18997,3
19021,1,19036,3
19077,1,19090,3
19102,1,19117,3
19155,1,19183,3
19231,1,19249,3
19277,1,19300,3
19326,1,19344,3
19360,1,19377,3
19394,1,19409,3
19430,1,19446,3
19455,1,19479,3
19492,1,19516,3
19525,1,19546,3
19578,1,19600,3
19635,1,19652,3
19683,1,19702,3
19711,1,19732,3
19741,1,19764,3
19776,1,19796,3
19828,1,19850,3
19861,1,19877,3
19892,1,19909,3
19925,1,19942,3
19981,1,20001,3
20020,1,20039,3
20085,1,20106,3
20128,1,20152,3
20172,1,20187,3
20226,1,20247,3
20296,1,20310,3
20336,1,20352,3
20397,1,20415,3
20446,1,20470,3
20508,1,20530,3
20559,1,20575,3
20590,1,20614,3
20648,1,20665,3
20683,1,20702,3
20729,1,20755,3
20769,1,20787,3
20802,1,20818,3
20851,1,20870,3
20896,1,20914,3
21040,1,21060,3
21081,1,21098,3
21110,1,21123,3
21140,1,21161,3
21180,1,21199,3
21217,1,21235,3
21250,1,21269,3
21285,1,21302,3
21331,1,21349,3
21363,1,21383,3
21397,1,21414,3
21427,1,21447,3
21474,1,21492,3
21506,1,21525,3
21549,1,21567,3
21588,1,21602,3
21615,1,21633,3
21650,1,21665,3
21684,1,21701,3
21719,1,21738,3
21756,1,21775,3
21797,1,21816,3
21828,1,21844,3
21860,1,21881,3
21897,1,21916,3
21939,1,21962,3
21978,1,21997,3
22006,1,22023,3
22062,1,22079,3
22093,1,22116,3
22145,1,22167,3
22185,1,22205,3
22217,1,22238,3
22254,1,22276,3
22288,1,22305,3
22316,1,22332,3
22397,1,22415,3
22433,1,22454,3
22465,1,22482,3
22496,1,22515,3
22528,1,22547,3
22581,1,22603,3
22620,1,22638,3
22656,1,22676,3
22690,1,22708,3
22721,1,22743,3
22761,1,22779,3
22795,1,22815,3
22833,1,22856,3
22871,1,22891,3
84759,1,84775,5
85551,1,85562,5
85595,1,85606,5
85656,1,85673,5
85955,1,85970,5
86001,1,86015,5
86047,1,86059,5
86145,1,86157,5
561,1,576,5
717,1,732,5
760,1,773,5
871,2,889,5
1545,1,1561,5
1658,1,1690,5
1718,1,1738,5
1757,1,1772,5
1806,1,1827,5
1843,1,1860,5
1878,1,1901,5
1947,1,1965,5
1980,1,2015,5
2044,1,2065,5
2163,2,2185,5
2209,1,2229,5
2263,1,2288,5
2326,1,2342,5
2376,1,2405,5
2471,1,2486,5
2522,1,2541,5
2584,1,2607,5
2676,1,2695,5
2751,1,2767,5
2772,1,2788,5
2813,1,2839,5
2881,1,2903,5
2942,1,2959,5
2999,1,3016,5
3072,1,3089,5
6337,1,6351,5
6640,1,6659,5
6710,1,6728,5
6747,1,6764,5
6810,1,6827,5
6841,1,6854,5
6948,1,6972,5
7056,1,7070,5
7168,1,7189,5
7228,1,7263,5
7300,1,7317,5
7362,1,7377,5
7627,1,7644,5
12580,1,12593,5
14090,1,14106,5
14732,1,14769,5
14812,1,14832,5
14856,1,14873,5
15075,1,15088,5
771,1,785,6
810,1,825,6
1044,1,1055,6
1083,2,1101,6
1123,2,1139,6
1164,1,1175,6
1195,1,1207,6
1235,2,1245,6
1270,1,1286,6
1310,1,1323,6
1741,1,1753,6
1850,1,1864,6
1892,1,1906,6
2442,1,2462,6
2777,1,2791,6
2816,1,2828,6
2855,1,2868,6
3263,1,3281,6
3718,2,3736,6
5523,1,5536,6
5551,1,5567,6
5581,1,5594,6
9854,1,9864,6
9884,1,9894,6
9911,1,9925,6
9939,1,9956,6
9972,1,9987,6
9998,1,10014,6
10032,1,10046,6
10063,1,10078,6
10094,1,10111,6
10128,1,10143,6
10163,1,10183,6
10198,1,10210,6
10230,1,10246,6
10263,2,10275,6
10295,1,10311,6
10427,1,10441,6
10583,1,10600,6
10624,2,10634,6
10655,2,10666,6
10685,2,10699,6
10722,2,10732,6
10750,1,10765,6
10787,1,10800,6
10885,1,10900,6
10937,1,10952,6
10966,1,10987,6
11003,1,11022,6
11235,1,11250,6
11306,1,11316,6
11337,1,11347,6
11369,2,11386,6
11408,1,11419,6
11444,1,11452,6
12414,2,12429,6
12452,2,12463,6
12486,1,12508,6
12525,2,12536,6
13356,1,13379,6
14443,1,14453,6
14469,1,14482,6
14501,2,14516,6
14533,1,14546,6
14564,1,14578,6
14599,1,14621,6
14636,2,14652,6
14669,1,14687,6
14738,1,14751,6
15061,1,15073,6
15166,1,15180,6
15272,1,15285,6
15416,1,15427,6
15460,1,15471,6
15766,1,15779,6
16079,1,16089,6
16485,1,16498,6
16557,1,16570,6
16638,1,16657,6
16754,1,16769,6
16857,1,16868,6
16889,1,16901,6
17074,1,17086,6
17099,1,17112,6
17130,2,17144,6
17162,2,17172,6
17191,2,17204,6
17223,1,17236,6
17251,2,17263,6
17779,1,17792,6
17806,1,17819,6
17835,1,17850,6
17863,2,17874,6
17892,1,17905,6
17919,1,17931,6
17947,1,17960,6
17975,2,17989,6
18005,2,18018,6
18033,2,18048,6
18060,1,18075,6
18091,2,18103,6
18117,1,18132,6
18148,2,18162,6
18179,1,18192,6
18208,2,18224,6
18274,1,18285,6
18300,2,18314,6
18334,2,18346,6
18364,1,18376,6
18396,1,18408,6
18423,1,18436,6
18454,1,18464,6
18481,1,18496,6
18516,1,18528,6
18542,1,18555,6
18573,1,18588,6
18603,1,18619,6
18635,1,18649,6
18667,1,18681,6
18693,1,18702,6
18725,1,18738,6
18757,1,18768,6
18785,1,18799,6
18819,2,18831,6
18848,2,18864,6
18880,2,18893,6
18911,2,18921,6
18939,2,18953,6
18973,1,18987,6
19067,2,19077,6
19093,2,19112,6
19127,2,19140,6
19158,1,19171,6
19192,2,19203,6
19221,1,19235,6
19250,2,19262,6
19280,2,19294,6
19308,1,19325,6
19339,2,19352,6
19367,1,19388,6
19403,2,19417,6
19435,1,19449,6
19464,2,19474,6
19493,2,19505,6
19525,2,19536,6
19557,2,19569,6
19641,1,19652,6
19670,1,19682,6
19729,1,19742,6
20111,1,20122,6
20136,2,20152,6
20169,2,20184,6
20203,2,20215,6
20427,1,20439,6
20459,1,20472,6
20496,1,20504,6
21528,2,21538,6
21556,2,21568,6
21587,2,21598,6
21769,1,21785,6
21796,1,21809,6
21826,1,21838,6
21857,1,21873,6
22303,1,22317,6
22334,2,22345,6
22364,2,22377,6
22396,1,22407,6
22429,1,22439,6
22627,1,22644,6
22658,2,22676,6
22689,1,22698,6
22717,1,22731,6
22747,2,22761,6
22778,2,22789,6
22808,2,22818,6
22838,2,22849,6
22873,1,22885,6
23071,2,23088,6
23110,1,23121,6
23329,1,23344,6
23361,1,23372,6
23550,1,23563,6
23615,1,23628,6
23920,1,23933,6
23948,1,23964,6
23978,2,23990,6
24007,1,24022,6
254,2,275,7
635,1,650,7
1081,2,1093,7
1760,1,1771,7
1863,2,1881,7
2018,1,2032,7
2575,1,2600,7
3536,1,3548,7
3826,1,3848,7
3896,1,3912,7
3944,1,3961,7
4004,2,4036,7
4068,1,4086,7
4125,1,4147,7
4173,1,4212,7
4256,2,4272,7
4313,2,4338,7
4364,2,4394,7
4451,1,4467,7
4520,1,4551,7
4597,1,4616,7
4662,2,4685,7
4721,1,4754,7
7728,1,7746,7
8011,1,8029,7
8050,1,8076,7
8133,1,8155,7
8205,1,8226,7
8258,2,8278,7
8307,1,8321,7
8407,1,8425,7
8528,1,8548,7
8645,1,8678,7
8978,3,8984,7
10703,1,10719,7
10896,1,10909,7
10962,1,10978,7
11462,1,11475,7
12332,2,12347,7
12974,1,12991,7
14277,2,14299,7
14784,1,14801,7
15945,1,15962,7
15973,1,15986,7
16037,1,16057,7
16173,1,16185,7
16262,2,16279,7
16314,1,16343,7
16380,2,16395,7
16405,2,16429,7
16454,2,16474,7
16494,1,16518,7
16819,2,16834,7
16864,2,16895,7
17040,2,17059,7
17114,2,17137,7
17164,1,17190,7
17207,1,17231,7
17281,1,17297,7
17481,1,17498,7
17582,1,17596,7
17702,1,17719,7
17854,1,17871,7
17915,1,17929,7
17957,1,17975,7
19799,1,19814,7
20370,1,20384,7
21335,1,21353,7
22145,1,22158,7
22197,1,22214,7
22305,1,22323,7
22351,1,22366,7
22411,1,22423,7
22502,1,22517,7
1100,3,1106,8
4282,1,4293,8
4413,1,4426,8
4630,1,4644,8
4885,1,4894,8
7389,1,7397,8
7413,1,7424,8
7451,1,7461,8
7473,1,7483,8
7890,1,7900,8
7956,1,7964,8
8371,2,8383,8
8497,1,8511,8
8610,1,8619,8
10030,1,10042,8
10275,1,10285,8
10421,1,10429,8
12433,1,12444,8
19744,1,19765,8
19878,1,19893,8
85874,2,85884,9
86011,1,86035,9
86053,1,86069,9
86080,1,86093,9
109,1,122,9
5072,1,5087,9
5242,1,5261,9
5495,1,5510,9
6021,2,6034,9
6046,1,6059,9
6070,1,6085,9
6884,2,6899,9
7162,1,7181,9
7481,2,7496,9
7711,1,7729,9
8074,1,8092,9
8959,2,8974,9
9327,2,9343,9
9355,2,9370,9
9386,1,9406,9
9643,1,9661,9
10109,1,10124,9
10381,2,10398,9
10557,1,10576,9
11040,1,11057,9
11069,1,11085,9
11962,1,11978,9
12634,1,12644,9
13993,1,14008,9
14024,1,14040,9
14059,1,14073,9
14183,2,14226,9
14330,1,14349,9
14461,1,14478,9
14765,1,14781,9
14818,1,14834,9
15070,1,15084,9
15160,1,15173,9
15246,1,15262,9
16186,1,16202,9
16271,1,16288,9
16402,1,16427,9
16456,1,16474,9
16538,1,16555,9
17374,2,17387,9
17904,1,17919,9
18310,1,18332,9
18335,3,18342,9
18352,1,18367,9
18551,1,18572,9
18620,2,18631,9
18644,1,18661,9
18813,1,18831,9
19114,2,19134,9
19145,2,19165,9
19182,2,19195,9
19208,1,19224,9
19263,1,19281,9
19296,1,19319,9
19329,1,19344,9
19358,1,19374,9
20159,1,20173,9
20223,1,20240,9
20257,1,20272,9
20415,1,20437,9
20485,1,20504,9
20560,1,20581,9
20588,1,20606,9
20836,1,20851,9
21047,1,21062,9
21083,1,21103,9
21112,1,21131,9
21153,1,21169,9
21401,1,21417,9
21571,1,21589,9
22040,2,22053,9
22466,1,22484,9
83876,1,83887,10
83910,1,83919,10
83958,1,83971,10
83979,1,83991,10
83997,1,84007,10
84026,1,84036,10
84092,1,84103,10
84111,1,84126,10
84133,1,84144,10
84154,1,84169,10
84199,1,84213,10
84219,1,84231,10
84256,1,84267,10
84277,1,84287,10
84311,1,84322,10
84396,1,84406,10
84428,1,84441,10
84450,1,84460,10
84467,1,84481,10
84503,1,84514,10
84526,1,84538,10
84550,1,84563,10
84573,1,84594,10
84605,1,84620,10
84843,1,84856,10
84872,1,84885,10
84921,1,84931,10
85374,1,85388,10
85455,1,85469,10
85475,1,85486,10
85747,1,85757,10
85767,1,85780,10
85788,1,85800,10
85804,1,85817,10
85821,1,85836,10
85843,1,85856,10
85864,1,85877,10
85885,1,85899,10
85906,1,85915,10
85923,1,85940,10
85949,1,85964,10
85971,1,85984,10
85991,1,86007,10
86027,1,86040,10
86050,1,86067,10
86072,1,86089,10
86100,1,86116,10
86128,1,86140,10
86144,1,86156,10
86160,1,86171,10
86177,1,86197,10
86207,1,86221,10
86238,1,86250,10
86260,1,86277,10
86283,1,86300,10
50,1,64,10
73,2,90,10
94,1,110,10
119,1,135,10
146,1,159,10
172,1,186,10
198,1,220,10
238,1,251,10
264,1,287,10
296,1,310,10
320,2,333,10
340,1,362,10
376,2,388,10
400,1,414,10
427,1,454,10
806,1,823,10
828,1,839,10
845,1,855,10
863,1,873,10
927,1,946,10
973,1,983,10
1062,1,1082,10
1089,1,1106,10
1107,1,1125,10
2642,1,2653,10
2659,1,2673,10
2679,1,2695,10
2725,1,2740,10
2764,1,2776,10
2786,1,2805,10
3448,1,3467,10
3496,1,3509,10
3525,1,3537,10
3906,1,3919,10
8280,1,8296,10
8354,1,8370,10
8396,1,8411,10
8461,1,8476,10
8498,1,8513,10
8523,1,8535,10
8599,1,8610,10
8653,1,8666,10
8709,1,8720,10
8770,1,8787,10
8825,1,8838,10
9046,1,9060,10
9185,1,9201,10
9208,1,9224,10
9278,1,9291,10
9472,1,9482,10
9507,1,9519,10
9557,1,9576,10
9959,1,9976,10
10262,1,10274,10
10297,1,10307,10
10317,1,10329,10
10355,1,10367,10
10401,1,10412,10
10423,1,10436,10
10445,1,10455,10
10464,1,10478,10
10488,1,10499,10
10511,1,10523,10
10532,1,10548,10
10558,1,10571,10
10582,1,10590,10
10597,1,10607,10
10623,1,10638,10
10653,1,10664,10
10672,1,10685,10
10694,2,10705,10
10710,1,10722,10
10736,1,10749,10
10758,1,10769,10
10777,1,10795,10
10802,1,10816,10
10827,1,10835,10
10848,1,10867,10
10870,1,10883,10
10907,1,10919,10
10932,1,10949,10
11178,1,11191,10
11198,1,11212,10
12576,1,12599,10
12621,1,12631,10
12644,1,12658,10
12665,1,12679,10
12682,1,12697,10
12705,1,12721,10
12728,1,12743,10
12752,1,12766,10
12774,1,12790,10
12801,1,12815,10
12823,1,12840,10
12849,1,12865,10
12877,1,12891,10
12899,1,12917,10
12926,1,12946,10
12953,1,12966,10
12979,1,12991,10
13004,1,13021,10
13033,1,13049,10
13063,1,13076,10
13087,1,13099,10
13112,1,13128,10
13136,1,13151,10
13164,1,13177,10
13190,1,13204,10
13212,1,13224,10
13240,1,13255,10
13275,1,13289,10
13303,1,13322,10
13406,1,13418,10
13489,1,13503,10
13517,1,13531,10
13553,1,13568,10
13603,1,13617,10
13787,1,13802,10
13974,1,13986,10
14128,1,14140,10
14157,1,14169,10
14197,1,14209,10
14226,1,14240,10
14250,1,14261,10
14275,1,14287,10
14345,1,14359,10
14573,1,14584,10
15129,1,15144,10
15154,1,15169,10
15189,1,15202,10
15234,1,15248,10
15264,1,15284,10
15347,1,15356,10
15400,1,15419,10
15430,1,15447,10
15482,1,15495,10
15537,1,15553,10
15658,1,15670,10
15761,1,15777,10
15924,1,15937,10
16093,1,16113,10
16119,1,16136,10
16189,1,16206,10
16376,1,16389,10
16792,1,16809,10
16840,1,16857,10
17397,1,17410,10
19302,1,19316,10
19376,3,19383,10
19388,1,19403,10
19699,1,19716,10
19790,1,19805,10
19862,1,19876,10
19930,1,19947,10
19963,1,19984,10
20024,1,20039,10
20059,1,20077,10
20098,1,20113,10
20129,1,20141,10
20157,1,20173,10
20209,1,20225,10
20238,1,20253,10
20312,1,20336,10
20441,1,20457,10
20488,1,20510,10
20570,1,20584,10
20598,1,20612,10
20635,1,20645,10
20697,1,20715,10
20756,1,20768,10
20791,1,20805,10
20816,1,20835,10
20866,1,20885,10
20894,1,20910,10
20962,1,20985,10
21000,1,21025,10
21063,1,21079,10
21099,1,21117,10
21122,1,21137,10
354,1,366,11
2324,1,2339,11
2371,1,2386,11
5951,1,5963,11
6093,1,6106,11
6241,1,6255,11
6297,1,6308,11
6343,1,6358,11
6420,1,6434,11
8770,1,8785,11
8825,1,8838,11
8876,1,8893,11
8913,1,8930,11
8981,1,8995,11
9020,1,9035,11
9049,1,9066,11
9214,1,9239,11
9267,1,9287,11
11550,1,11574,11
11735,1,11746,11
11979,1,11996,11
12069,1,12090,11
12125,1,12145,11
16349,1,16373,11
16610,1,16628,11
16658,1,16681,11
18754,1,18769,11
18837,1,18852,11
18890,1,18913,11
19007,1,19019,11
19058,1,19075,11
19916,1,19934,11
19995,1,20011,11
20148,1,20164,11
20189,1,20217,11
484,2,504,12
1987,2,2007,12
2021,1,2036,12
2060,2,2076,12
2092,2,2111,12
2132,1,2150,12
2167,1,2190,12
2220,1,2240,12
2288,1,2306,12
2346,1,2365,12
3119,1,3144,12
3159,1,3179,12
3192,1,3207,12
3227,1,3249,12
3281,2,3297,12
3449,1,3470,12
3502,1,3528,12
3556,1,3594,12
3621,1,3643,12
3677,1,3695,12
3732,1,3750,12
3808,1,3833,12
3881,1,3897,12
3993,1,4021,12
4102,2,4122,12
4151,1,4173,12
4193,1,4212,12
4239,2,4260,12
4303,1,4320,12
4363,1,4378,12
4405,1,4426,12
4456,1,4475,12
4501,1,4525,12
4558,1,4593,12
4629,2,4650,12
4814,1,4836,12
4845,2,4877,12
4912,1,4934,12
4955,1,4976,12
5001,1,5032,12
5059,1,5078,12
5109,1,5130,12
5158,2,5195,12
5208,2,5239,12
5263,1,5280,12
5308,1,5331,12
5361,1,5382,12
5412,1,5432,12
5465,1,5495,12
5519,1,5541,12
5571,1,5593,12
5629,1,5649,12
5673,1,5694,12
5822,1,5856,12
5883,1,5916,12
5948,2,5972,12
6035,2,6059,12
6082,1,6103,12
6130,1,6154,12
6177,2,6214,12
6240,1,6271,12
6301,1,6322,12
6368,2,6392,12
6499,2,6535,12
6562,1,6584,12
6603,1,6618,12
6658,1,6677,12
6714,2,6747,12
6777,1,6797,12
6827,1,6846,12
6878,1,6907,12
6934,1,6951,12
6967,1,6990,12
7050,1,7070,12
8130,1,8145,12
8678,1,8692,12
9122,2,9138,12
9267,1,9291,12
9362,1,9387,12
9505,1,9527,12
9550,2,9580,12
9605,1,9630,12
9916,2,9939,12
9961,2,9992,12
10015,2,10039,12
11916,1,11936,12
11973,2,11992,12
12010,2,12040,12
12066,1,12092,12
12113,2,12147,12
12172,1,12198,12
12217,1,12243,12
12277,1,12297,12
12319,1,12348,12
12371,1,12408,12
12431,1,12465,12
12482,1,12501,12
14141,1,14162,12
14183,1,14207,12
14235,1,14256,12
14290,2,14304,12
14428,1,14447,12
14476,1,14493,12
15305,1,15324,12
15363,1,15380,12
16563,1,16585,12
16598,3,16612,12
16730,1,16744,12
16775,1,16795,12
17375,2,17403,12
17429,1,17448,12
17475,2,17501,12
17536,1,17559,12
17567,3,17575,12
17599,2,17618,12
17655,2,17676,12
17696,2,17732,12
17766,1,17785,12
18052,2,18072,12
18104,1,18120,12
18833,1,18852,12
18874,1,18896,12
18930,2,18959,12
18991,2,19021,12
19043,2,19079,12
19106,2,19127,12
19153,2,19181,12
19205,1,19240,12
19265,1,19294,12
19311,1,19342,12
19483,1,19495,12
19880,1,19893,12
20048,1,20063,12
20159,1,20171,12
20237,1,20250,12
21339,2,21350,12
21444,2,21466,12
21478,2,21497,12
21520,1,21544,12
21578,1,21598,12
21623,1,21657,12
21680,1,21705,12
21732,1,21759,12
21790,1,21812,12
21914,1,21934,12
22430,1,22452,12
22469,1,22499,12
22516,1,22552,12
22574,1,22607,12
23089,1,23113,12
23140,1,23161,12
23187,1,23207,12
23230,2,23268,12
5194,1,5216,13
5717,1,5739,13
6059,1,6071,13
6093,1,6108,13
6687,1,6699,13
7349,1,7365,13
9347,1,9361,13
9767,1,9783,13
10081,1,10095,13
10238,1,10257,13
10268,1,10285,13
10383,1,10399,13
10534,1,10548,13
10668,1,10684,13
11697,1,11719,13
12580,1,12597,13
13334,1,13359,13
13944,1,13961,13
14311,1,14325,13
14424,1,14438,13
14468,1,14487,13
14533,1,14550,13
14608,1,14628,13
14692,1,14704,13
14735,1,14750,13
14805,1,14820,13
14930,1,14945,13
15004,1,15020,13
15040,1,15054,13
15126,1,15146,13
15187,1,15202,13
15342,1,15357,13
15383,1,15396,13
15425,1,15438,13
16116,1,16130,13
16273,1,16289,13
16490,1,16505,13
16531,1,16548,13
16568,1,16585,13
16613,1,16628,13
16649,1,16664,13
16685,1,16703,13
16740,1,16758,13
16802,1,16820,13
16850,1,16867,13
16888,1,16926,13
17023,1,17050,13
17171,1,17185,13
17245,1,17260,13
17444,1,17470,13
17563,1,17590,13
17624,1,17645,13
17697,1,17724,13
17752,1,17779,13
17807,1,17836,13
17893,1,17913,13
17943,1,17975,13
18182,1,18198,13
18236,1,18254,13
18320,1,18337,13
18363,1,18376,13
18396,1,18414,13
21379,1,21393,13
21434,1,21446,13
21723,1,21741,13
325,1,343,14
350,1,368,14
1118,1,1140,14
1315,1,1337,14
1427,1,1447,14
1715,1,1736,14
1761,1,1775,14
2619,1,2639,14
2665,1,2683,14
2700,1,2715,14
3852,2,3867,14
4185,1,4199,14
4212,1,4232,14
4264,1,4277,14
4296,1,4319,14
4485,1,4503,14
4528,1,4544,14
4592,1,4611,14
4630,1,4656,14
4670,1,4700,14
4740,1,4769,14
4788,1,4809,14
4820,1,4857,14
4885,1,4899,14
4995,1,5028,14
5068,1,5085,14
5131,1,5164,14
5195,1,5216,14
5233,1,5268,14
5287,1,5326,14
5338,1,5367,14
5382,1,5420,14
5440,1,5483,14
5510,1,5529,14
5555,1,5573,14
5589,1,5609,14
5624,1,5650,14
5684,1,5716,14
5739,1,5775,14
5786,1,5820,14
5841,1,5875,14
5894,1,5921,14
6010,1,6031,14
6077,1,6099,14
6120,1,6156,14
6179,1,6208,14
6239,1,6259,14
6287,1,6304,14
6319,1,6357,14
6387,1,6411,14
6637,1,6653,14
6668,1,6704,14
6743,1,6759,14
6788,1,6807,14
6875,1,6895,14
6916,1,6933,14
6962,1,6978,14
8700,1,8718,14
8800,1,8819,14
8963,1,8982,14
9010,1,9025,14
9065,1,9077,14
9539,1,9556,14
9576,1,9593,14
9709,1,9728,14
9802,1,9827,14
9841,1,9873,14
9883,1,9912,14
9942,1,9975,14
9989,1,10017,14
10043,1,10088,14
